created_at,sentimental_value,sentiment_value_r,hashtags
Sun Mar 22 06:13:43 +0000 2020,0,0,jantacurfew22march JantaCurfewSeJeetegaIndia JantakaCurfew coronavirusindia SuratReadyToFight
Sun Mar 22 05:12:08 +0000 2020,0,0,nan
Sun Mar 22 06:21:20 +0000 2020,0,0,corona PONGAL
Sun Mar 22 07:28:57 +0000 2020,-0.1,-1,nan
Sun Mar 22 05:11:02 +0000 2020,0.5,1,CORONA stayhomestaysafe mask
Sun Mar 22 06:35:44 +0000 2020,0.25,1,jantacurfew corona style bewakooftshirt beard
Sun Mar 22 07:06:56 +0000 2020,0.1,1,janatacurfew indiafightscorona
Sun Mar 22 05:50:45 +0000 2020,0,0,nikon spixpic spixpicofficial teamspixpic
Sun Mar 22 06:57:04 +0000 2020,0.182272727,1,Giaana Giu Poser PapaKiPari CutiePie CuteGirl BabyModel CuteBaby Princess Fashionista instababy BabyBlogger
Sun Mar 22 07:20:14 +0000 2020,0,0,fun cooking tamily tamilyshares tamilvideo cookingchef tamilsamayal cookingvideos tiktok friends
Sun Mar 22 04:40:50 +0000 2020,0.05,1,Bihar bihardiwas corona
Sun Mar 22 06:37:57 +0000 2020,0.083333333,1,SAIFIOFFICIAL Corona Covid19 CoronavirusPandemic
Sun Mar 22 06:59:35 +0000 2020,0.044444444,1,note8pro redminote8pro saswad evening corona roneetkhedekar
Sun Mar 22 06:39:07 +0000 2020,0.8,1,Corona MirzaGhalib JaunElia BasheerBadr
Sun Mar 22 07:22:59 +0000 2020,0,0,nan
Sun Mar 22 04:38:59 +0000 2020,0,0,curfew jantacurfew indiafightscorona fightagainstcorona StayAtHome indiaclosedown indiabandh pmmodi modi corona coronavirus nocorona COVID socialdistancing
Sun Mar 22 08:38:53 +0000 2020,0,0,read quran praying corona coronavirus virus china cure viralpost viruscorona covid19 covid healthyfood health allahuakbar
Sun Mar 22 07:58:21 +0000 2020,-0.6,-1,instagrammarketing instagram instamarketing coronavirus trend trending format corona filmmaking filmmakers cinema brandingdigital marketingdigital
Sun Mar 22 09:14:22 +0000 2020,0.5,1,corona selfquarantine socialdistancing coronavirus sociallydistant
Sun Mar 22 08:19:20 +0000 2020,0,0,corona virus
Sun Mar 22 08:37:54 +0000 2020,-0.5,-1,thanks COVID19outbreak JantaCurfew CoronavirusOutbreakindia corona JantaCurfewPledge
Sun Mar 22 08:05:33 +0000 2020,0.136363636,1,corona stayhomechallenge stayhomestaysafe bookaddict reading covid19
Sun Mar 22 07:54:07 +0000 2020,0,0,corona coronavirus covid19
Sun Mar 22 10:16:11 +0000 2020,0.5,1,wikiheer dailyindia corona nvidia starmaker stayhealthy zoomtv friends life
Sun Mar 22 09:31:46 +0000 2020,0.505,1,curfew corona
Sun Mar 22 09:41:05 +0000 2020,-0.125,-1,CareCarona CareForYou Corona Update Ayodhya NewVideo RedFm PoliceWalaRapper
Sun Mar 22 07:54:49 +0000 2020,-0.25,-1,gym lungs exercise pandemic
Sun Mar 22 09:27:59 +0000 2020,-0.1,-1,throwback beachlife traveldiaries vacayneeded goa goatripping
Sun Mar 22 08:59:16 +0000 2020,0.4,1,nan
Sun Mar 22 10:17:20 +0000 2020,0.4375,1,stay safe at home jantacurfew fighting against corona isupportjantacurfew
Sun Mar 22 11:03:03 +0000 2020,0.2,1,raichuryouthfriends
Sun Mar 22 11:56:49 +0000 2020,0.25,1,modi janatacurfew thalibajao india corona mumbai
Sun Mar 22 12:03:41 +0000 2020,0.153409091,1,nan
Sun Mar 22 11:33:56 +0000 2020,-0.15,-1,ModiCoronaMessage
Sun Mar 22 11:39:01 +0000 2020,-0.083333333,-1,fightcorona coronacurfew coronaindia coronavirus covid19
Sun Mar 22 11:48:47 +0000 2020,0.4,1,nan
Sun Mar 22 11:45:23 +0000 2020,0.411666667,1,nan
Sun Mar 22 11:36:12 +0000 2020,0,0,jantacurfew clapping platebanging gratitude gastronomiquelaffaire khulamunh harkiratuberoi beatvirus beatcoronavirus corona
Sun Mar 22 12:01:18 +0000 2020,0.133333333,1,gratitude corona gocoronago gocorona police doctors lightworkers cleaningstuff
Sun Mar 22 12:08:57 +0000 2020,-0.077777778,-1,corona
Sun Mar 22 13:04:15 +0000 2020,-0.48828125,-1,corona quarantine kolhapur maharashtra india amitgadre photooftheday photojournalism press pressphoto pressphotographer photojournalist news janatacurfew lockdown
Sun Mar 22 11:33:29 +0000 2020,0.5,1,jantacurfew covid20 Coronaindia COVID19 corona coronado sandiego
Sun Mar 22 11:30:58 +0000 2020,0.383167614,1,CoronavirusPandemic
Sun Mar 22 11:36:07 +0000 2020,0.466666667,1,Covid19 India
Sun Mar 22 12:04:48 +0000 2020,0.4,1,nan
Sun Mar 22 12:12:21 +0000 2020,0.6,1,stopcoronavirus coronavirusitalianews corona jantacurfew jantacurfew2020 jobfinder4u coronavirusmemes thankyouclap thankyou
Sun Mar 22 12:10:51 +0000 2020,0,0,corona jantacurfew jantacurfew2020 jantacurfew22march mhow indore india
Sun Mar 22 11:41:06 +0000 2020,0.104166667,1,COVID19 jantacurfew coronavirus appreciation narendramodi unitedwestand pritisharma thank medical serviceworkers itrainplus
Sun Mar 22 11:52:23 +0000 2020,-0.129166667,-1,jantacurfew corona fightback bharat india doctors medicalstaff noida
